Age;Status;Studies;YearsOfExperience;impression;Format;number_of_given_answers;expected_answer;given_answer;is_correct;time_in_milliseconds
undefined;undefined;undefined;undefined;undefined;MultiLine;1;1;1;true;1955
undefined;undefined;undefined;undefined;undefined;MultiLine;1;1;1;true;3068
undefined;undefined;undefined;undefined;undefined;OneLine;1;1;0;false;3266
undefined;undefined;undefined;undefined;undefined;MultiLine;1;1;1;true;2473
undefined;undefined;undefined;undefined;undefined;OneLine;1;1;0;false;3848
undefined;undefined;undefined;undefined;undefined;MultiLine;1;1;1;true;4461
undefined;undefined;undefined;undefined;undefined;MultiLine;1;1;1;true;1324
undefined;undefined;undefined;undefined;undefined;OneLine;1;1;1;true;2974
undefined;undefined;undefined;undefined;undefined;MultiLine;1;1;1;true;833
undefined;undefined;undefined;undefined;undefined;OneLine;1;1;1;true;1446
undefined;undefined;undefined;undefined;undefined;OneLine;1;1;1;true;928
undefined;undefined;undefined;undefined;undefined;OneLine;1;1;1;true;3007
undefined;undefined;undefined;undefined;undefined;MultiLine;1;1;1;true;1280
undefined;undefined;undefined;undefined;undefined;MultiLine;1;1;1;true;688
undefined;undefined;undefined;undefined;undefined;OneLine;1;1;1;true;1242
undefined;undefined;undefined;undefined;undefined;MultiLine;1;1;1;true;706
undefined;undefined;undefined;undefined;undefined;OneLine;1;1;1;true;1483
undefined;undefined;undefined;undefined;undefined;OneLine;1;1;1;true;1333
undefined;undefined;undefined;undefined;undefined;OneLine;1;1;1;true;1111
undefined;undefined;undefined;undefined;undefined;MultiLine;1;1;1;true;625
